cut,scene_file,shot_type,controlnet,characters,sd_prompt
CUT144,scene11.md,hand_insert,depth (optional),陽の手,"Fixed close-up insert of the boy's hand gripping the bookmark tightly in his pocket, desaturated background, anime style, key visual color grading, cinematic lighting"
CUT145,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face delivering the film's core line quietly and clearly, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT146,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy steadying his breathing, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT147,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face confessing his true fear, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT148,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face offering a gentle warning, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT149,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face asking a quiet confirming question, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT150,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face answering honestly and without certainty, desaturated blurred background, anime style, key visual color grading, cinematic lighting"
CUT151,scene11.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face shifting from pained tension into a small, resolved smile as he asks for his pain back, anime style, key visual color grading, cinematic lighting"
CUT152,scene11.md,character_pose_needed,openpose,クラ、陽、黒い影,"Wide shot of the man taking one step closer to the boy as black shadow spreads to engulf them both, camera performing only a very slow, minimal forward push, anime style, key visual color grading, cinematic lighting"
CUT153,scene12.md,environment_only,none,なし,"Fixed wide shot of a soundless white-and-grey void space, completely empty, soft directionless light, anime style, key visual color grading, cinematic lighting"
CUT154,scene12.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy standing alone in the white void, soft even light, anime style, key visual color grading, cinematic lighting"
CUT155,scene12.md,character_pose_needed,openpose,栞（遠景）,"Fixed wide shot of a girl's distant figure quietly appearing in the white void, a faint hint of sunset warmth around her, anime style, key visual color grading, cinematic lighting"
CUT156,scene12.md,character_pose_needed,openpose,栞,"Fixed medium-long shot of the girl standing quietly, her form now fully clear and no longer a silhouette, anime style, key visual color grading, cinematic lighting"
CUT157,scene12.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up on the girl's face, now clearly visible for the first time in the film, soft even light, blurred void background, anime style, key visual color grading, cinematic lighting"
CUT158,scene12.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face trying to speak but no voice coming out, soft void background, anime style, key visual color grading, cinematic lighting"
CUT159,scene12.md,character_pose_needed,openpose,栞,"Fixed medium shot of the girl waiting patiently, calm and still, soft void background, anime style, key visual color grading, cinematic lighting"
CUT160,scene12.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face gathering courage, soft void background, anime style, key visual color grading, cinematic lighting"
CUT161,scene12.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face quietly speaking a name, soft void background, anime style, key visual color grading, cinematic lighting"
CUT162,scene12.md,character_pose_needed,openpose,陽、栞,"Fixed wide shot of sunset-orange color beginning to bloom and spread through the white void the instant the boy speaks her name, anime style, key visual color grading, cinematic lighting"
CUT163,scene12.md,character_pose_needed,openpose,陽、栞,"Fixed wide shot of the sunset color now filling the entire void space around the two characters, anime style, key visual color grading, cinematic lighting"
CUT164,scene13.md,character_pose_needed,openpose,陽、栞,"Fixed wide shot, a soft memory-toned rain scene: a boy and a girl sharing one umbrella, walking together, gentler desaturated palette than the present-day rain, anime style, key visual color grading, cinematic lighting"
CUT165,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽、栞（肩・手のみ）,"Fixed close-up on two shoulders lightly touching under one umbrella, soft rain blurred in the background, anime style, key visual color grading, cinematic lighting"
CUT166,scene13.md,character_pose_needed,openpose,陽、栞,"Fixed medium shot in a soft-lit library: two hands reaching for the same book and overlapping, anime style, key visual color grading, cinematic lighting"
CUT167,scene13.md,character_pose_needed,openpose,陽、栞,"Fixed medium shot on a rooftop, soft daylight: a boy breaking a piece of bread in half and offering the larger half to a girl, anime style, key visual color grading, cinematic lighting"
CUT168,scene13.md,character_pose_needed,openpose,陽、栞,"Fixed medium shot: the girl comparing the two halves of bread, then gently pushing the smaller one back into the boy's hand, both laughing silently, anime style, key visual color grading, cinematic lighting"
CUT169,scene13.md,character_pose_needed,openpose,陽、栞,"Fixed wide shot on a dusk walk home, soft light: a girl holding out a mint-green bookmark to a boy, anime style, key visual color grading, cinematic lighting"
CUT170,scene13.md,hand_insert,depth (optional),栞の手,"Fixed macro insert of the girl's hand performing the exact two-tap pinky gesture aligning a mint-green bookmark's corner — this is the origin of the gesture repeated later by the boy, anime style, key visual color grading, cinematic lighting"
CUT171,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up on the girl's face speaking gently, warm dusk light, soft blurred background, anime style, key visual color grading, cinematic lighting"
CUT172,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the present-day boy gazing at the memory he just relived, back in the white void now tinted with faint sunset warmth, anime style, key visual color grading, cinematic lighting"
CUT173,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face apologizing quietly, soft void background with faint sunset warmth, anime style, key visual color grading, cinematic lighting"
CUT174,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up on the girl's face responding with quiet understanding, soft void background with faint sunset warmth, anime style, key visual color grading, cinematic lighting"
CUT175,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face confessing his deeper fear, soft void background with faint sunset warmth, anime style, key visual color grading, cinematic lighting"
CUT176,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up combining the girl's face and her hand performing the two-tap bookmark gesture again, her hand trembling very slightly this time, anime style, key visual color grading, cinematic lighting"
CUT177,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up held long on the girl's face delivering two short lines with a deliberate silent pause between them, soft void background with faint sunset warmth, anime style, key visual color grading, cinematic lighting"
CUT178,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up held on the boy's eyes welling with tears that do not fall, soft void background with faint sunset warmth, a small highlight caught in the tear, anime style, key visual color grading, cinematic lighting"
CUT179,scene13.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up held on the boy's full face, tears still unfallen, quiet resolve settling in, soft void background, anime style, key visual color grading, cinematic lighting"
CUT180,scene14.md,character_pose_needed,openpose,クラ、陽,"Fixed medium shot of the man raising the device to aim at the boy, within a sunset-colored emotional space, anime style, key visual color grading, cinematic lighting"
CUT181,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face delivering the film's signature line calmly, not as a threat but as a returning of the right to feel pain, warm sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT182,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy nodding once, warm sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT183,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face saying a quiet single word of agreement, warm sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT184,scene14.md,hand_insert,depth (optional),クラの手,"Fixed macro insert of a finger pulling the trigger of the device, preceded by a held moment of complete stillness, anime style, key visual color grading, cinematic lighting"
CUT185,scene14.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed macro insert of light and fine crack-like patterns spreading from within the device, resembling a small bell ringing deep inside glass — no conventional gunshot flash or muzzle blast, anime style, key visual color grading, cinematic lighting"
CUT186,scene14.md,character_pose_needed,openpose,黒い影、陽,"Fixed wide shot of the black shadow shattering into countless light particles around the boy, anime style, key visual color grading, cinematic lighting"
CUT187,scene14.md,character_pose_needed,openpose,陽,"Fixed medium shot of light particles flowing inward and returning into the boy's chest instead of disappearing, warm sunset space, anime style, key visual color grading, cinematic lighting"
CUT188,scene14.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy sinking to his knees, warm sunset-colored space, anime style, key visual color grading, cinematic lighting"
CUT189,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy clutching his chest, breathing hard and unevenly, warm sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT190,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up held on the boy's face as a single tear finally falls and traces down his cheek, warm sunset light catching it — this is the emotional peak of the film, paying off the held tear from the earlier memory scene, anime style, key visual color grading, cinematic lighting"
CUT191,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up on the girl's face breaking into a warm, relieved smile, sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT192,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),栞,"Fixed close-up on the girl's face speaking softly with a smile, sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT193,scene14.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face responding with a small smile, sunset-blurred background, anime style, key visual color grading, cinematic lighting"
CUT194,scene14.md,character_pose_needed,openpose,栞（消えていく）、陽,"Fixed wide shot held long: the girl's silhouette slowly dissolving into wind-blown light particles within the sunset-colored space, the boy watching, anime style, key visual color grading, cinematic lighting"
CUT195,scene15.md,character_pose_needed,openpose,陽,"Fixed wide shot of the boy waking up on a red sofa as soft morning light fills the same shop interior seen earlier, now lit differently for morning, anime style, key visual color grading, cinematic lighting"
CUT196,scene15.md,character_pose_needed,openpose,クラ,"Fixed medium shot of the man placing a cup of peppermint tea down, soft morning light, anime style, key visual color grading, cinematic lighting"
CUT197,scene15.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man's face asking a quiet caring question, soft morning-blurred background, anime style, key visual color grading, cinematic lighting"
CUT198,scene15.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face answering honestly, soft morning-blurred background, anime style, key visual color grading, cinematic lighting"
CUT199,scene15.md,character_pose_needed,openpose,陽（視線のみ）,"Fixed close-up insert of steam rising slowly from a teacup, the boy's gaze on it, soft morning light, anime style, key visual color grading, cinematic lighting"
CUT200,scene15.md,face_closeup,none (use character LoRA + IP-Adapter face ref),陽,"Fixed close-up on the boy's face speaking with quiet certainty, soft morning-blurred background, anime style, key visual color grading, cinematic lighting"
CUT201,scene15.md,face_closeup,none (use character LoRA + IP-Adapter face ref),クラ,"Fixed close-up on the man giving a small, quiet nod, soft morning-blurred background, anime style, key visual color grading, cinematic lighting"
CUT202,scene16.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy stepping out of the shop into soft post-rain light, anime style, key visual color grading, rain-lit cinematic lighting"
CUT203,scene16.md,character_pose_needed,openpose,陽（小さく）,"Fixed wide shot of the same shopping street from earlier, now post-rain: sunbeams breaking through clouds, wet pavement still reflecting light but no rain falling, anime style, key visual color grading, cinematic lighting"
CUT204,scene16.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed insert of a mint-green bookmark blown by the wind, landing near the boy's feet on wet pavement, anime style, key visual color grading, cinematic lighting"
CUT205,scene16.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy noticing something at his feet, soft post-rain light, anime style, key visual color grading, cinematic lighting"
CUT206,scene16.md,hand_insert,depth (optional),陽の手,"Fixed close-up insert of a hand picking up the mint-green bookmark from wet pavement, anime style, key visual color grading, cinematic lighting"
CUT207,scene16.md,object_insert_no_character,none (or depth for prop shape),なし,"Fixed static macro insert of handwritten text on the back of the bookmark reading 'またね。', soft post-rain light, anime style, key visual color grading, cinematic lighting"
CUT208,scene16.md,character_pose_needed,openpose,陽,"Fixed medium shot of the boy putting the bookmark into his pocket, soft post-rain light, anime style, key visual color grading, cinematic lighting"
CUT209,scene16.md,character_pose_needed,openpose,小面（遠景）、陽（近景）,"Fixed wide shot across a crosswalk: a figure in a black suit and white noh mask standing distantly on the far side, the boy in the near foreground, anime style, key visual color grading, cinematic lighting"
CUT210,scene16.md,character_pose_needed,openpose,陽、小面,"Fixed alternating close shots of the boy and the masked figure locking eyes across the crosswalk distance, soft post-rain light, anime style, key visual color grading, cinematic lighting"
CUT211,scene16.md,character_pose_needed,openpose,陽、小面（車両に隠れる）,"Fixed wide shot of a large vehicle passing through the frame, briefly blocking the view between the boy and the distant masked figure, anime style, key visual color grading, cinematic lighting"
CUT212,scene16.md,character_pose_needed,openpose,陽のみ,"Fixed wide shot of the crosswalk after the vehicle has passed, the masked figure now gone, only the boy remaining, anime style, key visual color grading, cinematic lighting"
CUT213,scene16.md,character_pose_needed,openpose,陽,"Fixed wide shot of a pedestrian signal changing from red to green as the boy takes his first step across the crosswalk, the image gently fading to black by the end of the shot, anime style, key visual color grading, cinematic lighting"
CUT214,after_credit.md,character_pose_needed,openpose,小面,"Fixed wide shot of a dim traditional Japanese room, noh masks lined along the wall, a masked figure sitting alone on the floor, mostly dark with only faint overhead light, anime style, key visual color grading, cinematic lighting"
CUT215,after_credit.md,face_closeup,none (use character LoRA + IP-Adapter face ref),小面,"Fixed close-up, frontal, on a white noh mask with a fine crack across its cheek, faint overhead light catching the crack — this is the only frontal full close-up of the masked figure in the entire film, anime style, key visual color grading, cinematic lighting"
CUT216,after_credit.md,face_closeup,none (use character LoRA + IP-Adapter face ref),小面,"Fixed close-up on the masked figure speaking a single quiet phrase, dim lighting, then the image slowly fading to black by the end of the shot, anime style, key visual color grading, cinematic lighting"
